age_calBP,Age [ka b2k],Temp1,Temp2,Temp3,Temp4
42569.95,42570,6.15,6.89,5.94,6.37
42679.95,42680,4.49,6.16,5.11,6.26
42789.95,42790,3.91,6.16,3.75,5.68
42899.95,42900,,,,
43009.95,43010,,,,
43009.95,43010,,,,
43119.95,43120,5.13,6.61,7.14,7.75
43229.95,43230,4.47,6.71,7.16,8.36
43339.95,43340,4.71,6.5,7.02,7.87
43499.95,43500,6.5,8.09,6.91,8.03
43758.45,43758.5,6.41,7.29,7.13,7.46
44016.85,44016.9,5.76,6.83,6.23,6.81
44275.35,44275.4,6.11,7.18,6.49,7.1
44533.75,44533.8,6.94,7.28,7.26,7.16
44792.25,44792.3,6.55,7.15,7.33,7.37
45309.15,45309.2,8.42,8.4,8.54,8.13
45567.65,45567.7,4.87,6.24,5.98,6.72
45826.15,45826.2,4.22,6.26,5.59,6.92
46084.55,46084.6,5.01,6.62,6.16,7.11
46343.05,46343.1,5.97,6.68,6.87,6.98
46859.95,46860,5.32,6.7,6.81,7.46
46874.45,46874.5,5.11,6.53,6.61,7.29
46889.05,46889.1,5.13,6.66,6.27,7.14
46903.55,46903.6,6.28,6.85,6.56,6.69
46947.25,46947.3,7.51,7.51,7.7,7.29
46976.35,46976.4,7.65,7.05,7.56,6.62
47005.45,47005.5,7.13,7.55,7.59,7.53
47049.05,47049.1,7.31,6.67,7.25,6.26
47092.65,47092.7,6.88,6.92,7.18,6.78
47121.75,47121.8,9.12,8.06,9.01,7.62
47150.85,47150.9,7.58,7.52,7.87,7.37
47194.45,47194.5,8.51,7.71,8.4,7.27
47238.15,47238.2,7.9,8.2,8.3,8.13
47267.25,47267.3,8.85,7.84,8.73,7.39
47296.35,47296.4,7.8,7.96,8.19,7.89
47339.95,47340,,,,
47387.55,47387.6,8.07,8.16,8.47,8.1
47435.15,47435.2,8.12,8.11,8.38,7.94
47482.85,47482.9,8.35,8.8,8.75,8.74
47530.45,47530.5,8.45,8.56,8.77,8.43
47578.05,47578.1,8.46,8.58,8.65,8.36
47625.65,47625.7,8.8,8.81,8.93,8.55
47673.25,47673.3,8.56,8.74,8.71,8.49
47720.95,47721,8.48,8.71,8.61,8.44
47768.55,47768.6,8.14,8.24,8.31,8
47816.15,47816.2,7.93,8.48,8.26,8.36
47863.75,47863.8,,,,
47911.35,47911.4,8.22,8.57,8.66,8.54
47958.95,47959,7.83,8.17,8.35,8.19
48006.65,48006.7,7.57,8.29,8.31,8.48
48054.25,48054.3,7.14,7.91,7.46,7.78
48133.65,48133.7,8.6,9.49,8.9,9.35
48212.95,48213,9.03,9.22,9.33,9.08
48292.35,48292.4,9.3,10.7,9.31,10.34
48438.85,48438.9,8.73,8.86,8.63,8.43
48686.25,48686.3,5.33,6.92,6.58,7.5
48735.75,48735.8,5.25,7.13,7.28,8.28
48785.25,48785.3,5.7,7.03,7.94,8.34
48834.65,48834.7,6.08,7.47,7.58,8.23
48884.15,48884.2,6.94,7.36,8.15,7.9
48933.65,48933.7,6.17,7.36,7.78,8.2
48983.15,48983.2,5.24,7.03,6.97,7.95
49032.55,49032.6,5.62,6.72,7.87,8.04
49082.05,49082.1,4.97,6.35,6.3,6.98
49131.55,49131.6,5.05,6.31,7.53,7.8
49181.05,49181.1,5.59,7.51,7.85,8.83
49399.95,49400,7.25,7.85,7.75,7.86
49599.95,49600,5.7,6.73,6.3,6.81
49945.45,49945.5,6.52,7.86,6.77,7.68
50290.85,50290.9,8.17,9.06,7.86,8.47
50463.55,50463.6,9.43,10.05,9.42,9.68
50636.35,50636.4,8.99,9.91,8.67,9.3
50981.75,50981.8,9.03,9.61,8.79,9.07
51327.25,51327.3,8.94,9.69,8.61,9.09
51499.95,51500,7.86,8.67,7.7,8.19
51579.95,51580,8.22,8.89,8.43,8.67
51810.55,51810.6,8.73,9.67,8.41,9.07
51961.15,51961.2,9.09,10.21,8.79,9.62
52111.75,52111.8,8.78,9.68,8.8,9.34
52412.85,52412.9,8.61,9.25,8.59,8.87
52714.05,52714.1,8.41,9.44,8.54,9.18
53015.25,53015.3,8.41,9.4,8.41,9.03
53316.45,53316.5,9.47,10.25,9.36,9.8
53467.05,53467.1,7.34,8.3,7.25,7.87
53918.75,53918.8,8.43,8.88,8.1,8.27
54069.35,54069.4,7.19,8.09,7.89,8.26
54219.95,54220,7.11,8.06,7.78,8.19
54899.95,54900,6.63,7.76,7.32,7.92
55457.05,55457.1,7.2,8.08,7.42,7.87
55514.25,55514.3,9.71,10.15,9.56,9.67
55628.55,55628.6,7.35,8.4,7.5,8.16
55657.05,55657.1,7.72,8.29,7.72,7.92
55742.85,55742.9,7.95,8.43,8.19,8.25
55799.95,55800,4.61,7.18,5.53,7.5
55821.85,55821.9,,,,
55821.85,55821.9,,,,
55821.85,55821.9,,,,
55843.75,55843.8,5.26,7.37,6.31,7.79
55887.45,55887.5,4.94,7.2,5.74,7.43
55931.25,55931.3,5.25,7.69,5.54,7.54
55974.95,55975,4.64,7.1,5.42,7.32
55996.85,55996.9,,,,
55996.85,55996.9,6.09,7.57,6.42,7.45
55996.85,55996.9,6.73,8.32,7.54,8.56
56018.75,56018.8,6.39,7.91,7.49,8.38
56040.55,56040.6,6.36,8.4,7.28,8.72
56084.35,56084.4,6.14,8.13,7.24,8.6
56149.95,56150,5.54,7.78,6.79,8.35
56193.75,56193.8,6.31,8.21,7.72,8.9
56215.55,56215.6,6.68,8.61,8.24,9.41
56259.35,56259.4,6.37,7.52,7.81,8.24
56303.05,56303.1,5.29,7.7,6.9,8.54
56346.85,56346.9,5.23,7.96,6.8,8.78
56390.55,56390.6,5.56,7.67,7.18,8.51
56478.05,56478.1,4.8,7.77,5.93,8.25
56528.55,56528.6,3.93,7.28,4.66,7.46
56614.25,56614.3,3.38,7.46,3.97,7.53
57034.95,57035,6.8,7.7,7.24,7.66
57537.45,57537.5,7.77,8.37,7.96,8.15
57872.45,57872.5,2.24,9.67,2.3,9.36
58339.95,58340,4.26,7.05,5.91,7.92
